player,kill_per_round,death_per_round,KD_ratio,acs,entry_success_rate,entry_diff,first_kills,clutch_per_round,clutch_weight,multikill_score,util_score,assists,defuses,plants,econ_rating,eco_rounds_pct,full_buy_pct,hs_pct,kast_pct,win_rate,n_maps_played,cluster_raw,cluster,archetype,is_outlier,pca1,pca2,tsne1,tsne2
bao,0.6437463502680895,0.7058767100269077,0.9420390067448892,188.45454545454547,0.393939393939394,-0.8181818181818182,1.5454545454545454,0.021284271284271284,0.45454545454545453,5.2727272727272725,1.9090909090909092,6.454545454545454,0.6363636363636364,1.2727272727272727,47.09090909090909,0.1289587882473258,0.0,28.727272727272727,70.81818181818181,0.45454545454545453,11,1,1,🧠 Strategic IGL/Support,True,1.0883369531630578,-0.9797082302170605,4.3801074,-1.3247792
barricade,0.6606551660899487,0.7327747232638537,0.9216342019263846,181.66666666666666,0.4152777777777778,-0.5,1.75,0.03316656169917039,0.8333333333333334,5.083333333333333,1.5,3.25,0.4166666666666667,1.0833333333333333,46.25,0.13490012403055882,0.0,29.333333333333332,64.25,0.4166666666666667,12,1,1,🧠 Strategic IGL/Support,True,1.2647786075370835,-0.7807431202880364,8.15605,-2.5920334
batujnax,0.6222376768898207,0.7703173874250294,0.8449150339003013,179.9655172413793,0.38634124496193456,-0.7931034482758621,2.0344827586206895,0.004885057471264368,0.10344827586206896,4.068965517241379,1.5172413793103448,5.206896551724138,0.4482758620689655,1.0689655172413792,44.275862068965516,0.156997570012038,0.0,28.275862068965516,68.75862068965517,0.2413793103448276,29,1,1,🧠 Strategic IGL/Support,False,0.8323364303005203,-1.3343555311672288,5.3283234,-10.521377
benG,0.5535474400563914,0.7379545362281935,0.7752057072829132,163.75,0.4270833333333333,0.25,1.5,0.03436539306104523,0.75,3.0,1.25,5.5,0.125,1.125,40.75,0.17940156958699158,0.0,31.5,65.5,0.25,8,1,1,🧠 Strategic IGL/Support,True,1.3718900335670556,-1.6917581250486333,1.6292093,-8.277623
benjyfishy,0.7149372879038847,0.6742696058297949,1.173830258717425,194.421875,0.48627645502645506,0.005208333333333333,1.7552083333333333,0.025331873032383174,0.5364583333333334,4.364583333333333,1.0677083333333333,4.15625,0.453125,0.6145833333333334,45.729166666666664,0.12824872001037882,0.0,35.40625,70.47916666666667,0.59375,192,1,1,🧠 Strategic IGL/Support,False,0.7121608576630742,0.9210854534438828,10.4166975,3.373269
beyAz,0.5156975538117612,0.7194835237680122,0.7549535820032834,155.42857142857142,0.34404761904761905,-0.5357142857142857,0.9285714285714286,0.0172340675400595,0.35714285714285715,2.7142857142857144,2.5357142857142856,8.464285714285714,0.5,2.0357142857142856,42.57142857142857,0.15473732876064233,0.0,24.285714285714285,71.03571428571429,0.35714285714285715,28,1,1,🧠 Strategic IGL/Support,True,0.9105272537567477,-3.112585107631025,-3.9232638,-8.076215
bipo,0.686504896473533,0.7117908896640219,0.9895651656564969,190.24,0.40134920634920634,-1.12,2.56,0.009595052290704464,0.24,5.04,1.08,4.48,0.48,0.6,47.0,0.14278380152474918,0.0,25.52,68.2,0.64,25,1,1,🧠 Strategic IGL/Support,False,0.8858495447772934,-0.37538306228204377,11.433219,-8.331557
blaZek1ng,0.6556433371669217,0.6998235381809562,0.9726878409715721,189.83870967741936,0.5121351766513057,0.25806451612903225,1.7741935483870968,0.026663005281019253,0.5483870967741935,4.193548387096774,1.5483870967741935,4.67741935483871,0.45161290322580644,1.096774193548387,52.96774193548387,0.15652874979028153,0.0,33.12903225806452,68.09677419354838,0.3548387096774194,31,1,1,🧠 Strategic IGL/Support,False,1.7396954328522618,0.26895437142058165,9.834682,-1.0906932
blowz,0.6161886842135622,0.656099135757936,0.9874694378705073,175.45454545454547,0.34848484848484845,-0.36363636363636365,0.7272727272727273,0.012234142668925278,0.2727272727272727,3.727272727272727,5.090909090909091,4.636363636363637,1.0,4.090909090909091,46.18181818181818,0.14231847165467254,0.0,26.181818181818183,71.0909090909091,0.45454545454545453,11,1,1,🧠 Strategic IGL/Support,True,1.8193987376596141,-2.1266293336721995,-8.833683,-4.0449347
brawk,0.6928645444923365,0.6368473468838629,1.3842159562760417,200.68478260869566,0.4802018633540373,0.15217391304347827,1.2717391304347827,0.01902154950990083,0.42391304347826086,4.684782608695652,2.8152173913043477,6.467391304347826,0.6413043478260869,2.1739130434782608,57.73913043478261,0.16206804458606297,0.0,20.652173913043477,73.76086956521739,0.5869565217391305,92,1,1,🧠 Strategic IGL/Support,True,2.4206007122162294,0.7586302460551728,3.6825027,9.659067
