player,team,maps_played,avg_acs,avg_vlr,avg_kd,avg_impact,pred_impact,win_rate,avg_first_kills,avg_clutch,avg_hs,rank
keznit,KRÜ Esports,60,238.69677419354838,1.0978709677419354,1.1939498672538222,3343482.6801965046,3.345158e+06,0.45161290322580644,3.7548387096774194,0.022289879538141582,25.12258064516129,206
Lakia,Gen.G,43,170.41463414634146,0.8904878048780488,0.9377700129475882,3333104.830679779,3.3321972e+06,0.6260162601626016,1.4146341463414633,0.022220695206464556,26.666666666666668,207
nerve,FURIA,6,168.6315789473684,0.8978947368421052,0.8860448108370546,3330485.84923709,3.3294142e+06,0.5789473684210527,1.0526315789473684,0.0222032353611301,23.894736842105264,208
Chronicle,FNATIC,96,208.34274193548387,1.1173790322580646,1.2385430965704736,3317449.2289189524,3.31892e+06,0.6532258064516129,1.9314516129032258,0.0221163234595026,25.237903225806452,209
JitBoyS,TALON,57,189.81294964028777,0.9795683453237409,1.0507197279077916,3317533.7769449567,3.3181472e+06,0.48201438848920863,1.7410071942446044,0.02211688771019984,35.76978417266187,210
Apoth,Evil Geniuses,12,172.0,0.8233333333333334,0.8600203836697645,3297713.6834456837,3.296717e+06,0.43333333333333335,1.8666666666666667,0.021984754376058725,35.06666666666667,211
Foxy9,DRX,59,193.24666666666667,0.9806666666666666,1.1155344055955512,3299153.9705591872,3.296041e+06,0.6133333333333333,2.2066666666666666,0.021994355497182257,31.69333333333333,212
xeta,T1,21,191.82692307692307,1.0438461538461539,1.0540314077510433,3287299.9375550193,3.2870938e+06,0.4807692307692308,1.25,0.021915328701105852,22.826923076923077,213
Redgar,Team Liquid,30,161.32467532467533,0.8240259740259741,0.8544846324338503,3272231.209090074,3.270701e+06,0.4805194805194805,2.064935064935065,0.021814871232201615,35.51298701298701,214
t3xture,Gen.G,80,233.56807511737088,1.0969953051643193,1.2524504457560646,3261720.16188537,3.259925e+06,0.5821596244131455,3.9014084507042255,0.021744796062598486,26.76525821596244,215
FFs,Monarch Effect,7,192.52631578947367,0.9252631578947368,0.993850304703841,3242481.7927524587,3.2406615e+06,0.47368421052631576,1.736842105263158,0.021616541353383457,19.236842105263158,216
Wo0t,Team Heretics,64,214.25301204819277,1.054698795180723,1.164724284117911,3240683.760662725,3.2406002e+06,0.608433734939759,2.746987951807229,0.021604553800395318,34.05421686746988,217
xccurate,T1,20,186.92,0.9494,1.0202364555808827,3238189.9449571003,3.2348642e+06,0.44,1.56,0.021587928979233326,26.74,218
Sayaplayer,T1,40,221.1980198019802,1.0634653465346535,1.1831711432123717,3223388.7318069334,3.2216755e+06,0.45544554455445546,3.8316831683168315,0.021489253445202104,26.826732673267326,219
Cryocells,100 Thieves,63,226.39354838709679,1.1243225806451613,1.2887279724835903,3219693.200903447,3.219251e+06,0.5096774193548387,3.1032258064516127,0.02146461633350417,26.348387096774193,220
Alfajer,FNATIC,94,224.32926829268294,1.1291056910569106,1.3135928876847092,3197319.9748549582,3.1976435e+06,0.6463414634146342,2.7357723577235773,0.021315461443634158,31.056910569105693,221
